Timestamp,What age group do you fall under?,Which is your gender?,What would you say accurately matches your personality in a group discussion?,Choose all the options that are close to where you reside.,How often do you eat from fast foods each month?,What does your purchase mostly consist of?  [Nigerian dishes],What does your purchase mostly consist of?  [Burger],What does your purchase mostly consist of?  [Pizza],What does your purchase mostly consist of?  [Small chops],What does your purchase mostly consist of?  [Shawarma],What do you look for when choosing a fast food restaurant?,Which of the following have you been to at least twice in the last 2 months,"When it comes to ordering, which do you prefer the most?",What is the best way to reach you for special offers/Discounts?,What about a fast food restaurant endears you to them? [Their special offers],What about a fast food restaurant endears you to them? [The quality],What about a fast food restaurant endears you to them? [Value for your money],What about a fast food restaurant endears you to them? [Excellent service],What about a fast food restaurant endears you to them? [Convenience],What about a fast food restaurant endears you to them? [Price],What about a fast food restaurant endears you to them? [Social media savviness],What do you consider yourself to be the most?
2018/09/07 4:16:15 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi,More than 10,Most likely,Most likely,Likely,Highly Unlikely,Most likely,Value for your money,none,Order online and get delivered,Via Emails,Indifferent,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,A Shawarma Expert
2018/09/07 4:32:02 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,7 - 10,Highly Unlikely,Likely,Likely,Most likely,Likely,Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/07 5:12:57 PM GMT+1,25 - 34,Male,"Passionate, I sometimes over talk.",Victoria Island;Ikoyi;Lekki Phase 1;Gbagada,4 - 6,Likely,Highly Unlikely,Most likely,Likely,Likely,Cheapest place;Quality,Domino's Pizza Saka,Order online and pick up,Via SMS,Agree,Agree,Strongly Agree,Strongly Agree,Stongly Disagrre,Agree,Agree,A Jollof Warrior
2018/09/07 5:39:48 PM GMT+1,18 - 25,Female,"Passionate, I sometimes over talk.",Lekki Phase 1,4 - 6,Most likely,Likely,Most likely,Likely,Most likely,Quality;Value for your money,Domino's Pizza Saka;Debonair's Pizza,Order online and get delivered;Order online and pick up,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/07 5:59:52 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Gbagada,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Likely,Most likely,Closest place;Vast menu options;Value for your money,Domino's Pizza Saka,Order online and get delivered;Order in a physical store and dine in,In-stores,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Small chops Supremacist
2018/09/07 8:16:27 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Lekki Phase 1,4 - 6,Likely,Most likely,Most likely,Highly Unlikely,Most likely,Closest place;Value for your money,Milano Pizza,Order online and get delivered,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/07 9:01:39 PM GMT+1,18 - 25,Male,"Passionate, I sometimes over talk.",Lekki Phase 1,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Likely,Most likely,Value for your money,Debonair's Pizza,Order in a physical store and dine in,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/07 9:13:21 PM GMT+1,25 - 34,Male,"Passionate, I sometimes over talk.",Gbagada,More than 10,Most likely,Likely,Most likely,Most likely,Likely,Closest place;Vast menu options;Value for your money,Domino's Pizza Saka;Debonair's Pizza,Order online and get delivered,Via SMS,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Jollof Warrior
2018/09/07 9:15:19 PM GMT+1,18 - 25,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,4 - 6,Highly Unlikely,Most likely,Likely,Likely,Most likely,Cheapest place;Vast menu options;Quality,Domino's Pizza Saka,Order in a physical store and dine in;Order in a physical store and takeaway,An app belonging to the restaurant,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Burger Elitist
2018/09/07 9:16:36 PM GMT+1,18 - 25,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,More than 10,Most likely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Likely,Quality,spur,Order in a physical store and dine in;Order in a physical store and takeaway,In-stores,Agree,Agree,Agree,Agree,Agree,Indifferent,Agree,a fried Rice warrior
